open_access_repo,open_access,paper,catalyst,loading_g,temperature_K,gas_mix,flow_rate_mL_min,LHSV_h,WHSV_h,GHSV_h,pressure,conversion_pct,selectivity_pct
,,US20100160692A1,Ba/Al2O3 with Lanthanum promoter,,673,Ethanol:N2 1:900 vol ratio,N2- 15 EtOH - 1.03/60,,,,,38,23
,,US20100160692A1,Sr/Al2O3 with Lanthanum promoter,,673,Ethanol:N2 1:900 vol ratio,N2- 15 EtOH - 1.03/61,,,,,29,34
,,US20100160692A1,Ca/Al2O3 with Lanthanum promoter,,673,Ethanol:N2 1:900 vol ratio,N2- 15 EtOH - 1.03/62,,,,,30,35
,,US20100160692A1,29.1 wt% BaO/Al2O3,,673,Ethanol:N2 1:900 vol ratio,N2- 15 EtOH - 1.03/63,,,,,29,29
,,US20100160692A1,21.7 wt% SrO/Al2O3,,673,Ethanol:N2 1:900 vol ratio,N2- 15 EtOH - 1.03/64,,,,,29,16
,,US20100160692A1,12.9 wt% CaO/Al2O3,,673,Ethanol:N2 1:900 vol ratio,N2- 15 EtOH - 1.03/65,,,,,15,38
,,US9056811,CaHAP A-0,,473,100vol% Ethanol,,,,,507 kPa,,0
,,US9056811,CaHAP A-1,,473,100vol% Ethanol,,,,,203 kPa,,0
,,US9056811,CaHAP A-2,,473,100vol% Ethanol,,,,,101 kPa,,0.1
,,US9056811,CaHAP A-3,,473,100vol% Ethanol,,,,,91 kPa,,0.2
,,US9056811,CaHAP A-4,,473,100vol% Ethanol,,,,,81 kPa,,0.3
,,US9056811,CaHAP A-5,,473,100vol% Ethanol,,,,,51 kPa,,0.4
,,US9056811,CaHAP A-6,,473,100vol% Ethanol,,,,,20 kPa,,0.8
,,US9056811,CaHAP A-7,,473,100vol% Ethanol,,,,,5 kPa,,1.2
,,US9056811,CaHAP A-0,,498,100vol% Ethanol,,,,,507 kPa,,0.3
,,US9056811,CaHAP A-1,,498,100vol% Ethanol,,,,,203 kPa,,0.5
,,US9056811,CaHAP A-2,,498,100vol% Ethanol,,,,,101 kPa,,0.9
,,US9056811,CaHAP A-3,,498,100vol% Ethanol,,,,,91 kPa,,1
,,US9056811,CaHAP A-4,,498,100vol% Ethanol,,,,,81 kPa,,1.2
,,US9056811,CaHAP A-5,,498,100vol% Ethanol,,,,,51 kPa,,1.6
,,US9056811,CaHAP A-6,,498,100vol% Ethanol,,,,,20 kPa,,3.9
,,US9056811,CaHAP A-7,,498,100vol% Ethanol,,,,,5 kPa,,13.8
,,US9056811,CaHAP A-0,,523,100vol% Ethanol,,,,,507 kPa,,1.4
,,US9056811,CaHAP A-1,,523,100vol% Ethanol,,,,,203 kPa,,4
,,US9056811,CaHAP A-2,,523,100vol% Ethanol,,,,,101 kPa,,8.3
,,US9056811,CaHAP A-3,,523,100vol% Ethanol,,,,,91 kPa,,8.9
,,US9056811,CaHAP A-4,,523,100vol% Ethanol,,,,,81 kPa,,10.2
,,US9056811,CaHAP A-5,,523,100vol% Ethanol,,,,,51 kPa,,13.6
,,US9056811,CaHAP A-6,,523,100vol% Ethanol,,,,,20 kPa,,22.1
,,US9056811,CaHAP A-7,,523,100vol% Ethanol,,,,,5 kPa,,32.6
,,US9056811,CaHAP B-0,,523,100vol% Ethanol,,,,,507 kPa,,1.1
,,US9056811,CaHAP B-1,,523,100vol% Ethanol,,,,,203 kPa,,1.6
