# Manual ground truth for every repair the pipeline makes on pages 6 and 7 of
# US9056811 (patent print pages 9-12), read by eye from 190-dpi renders of the
# scanned page images (pdftoppm -r 190 -f 6 -l 7).
#
# Source tables on these pages:
#   p6: TABLE 2-continued, TABLE 3, TABLE 3-continued, TABLE 4, TABLE 5
#   p7: TABLE 5-continued, TABLE 6, TABLE 7, TABLE 8, TABLE 9, TABLE 10
#
# Columns: idx  page  ocr_token  truth_value
# truth_value is the value actually printed in the scanned image.
idx	page	ocr_token	truth
1	6	S.O	5.0
2	6	6.O	6.0
3	6	3OO	300
4	6	24.O	24.0
5	6	1O.S	10.5
6	6	1O.O	10.0
7	6	S.O	5.0
8	6	1.O	1.0
9	6	O.90	0.90
10	6	O.8O	0.80
11	6	OSO	0.50
12	6	O.20	0.20
13	6	O.OSO	0.050
14	6	2OO	200
15	6	O.O	0.0
16	6	O.O	0.0
17	6	O.1	0.1
18	6	O.2	0.2
19	6	O.3	0.3
20	6	O.8	0.8
21	6	O.3	0.3
22	6	O6	0.6
23	6	O.9	0.9
24	6	S.O	5.0
25	6	1.O	1.0
26	6	O.90	0.90
27	6	O.8O	0.80
28	6	O.SO	0.50
29	6	O.2O	0.20
30	6	O.OSO	0.050
31	7	2O2	20.2
32	7	3OO	300
33	7	2SO	25.0
34	7	3O.S	30.5
35	7	4S.O	45.0
36	7	S.O	5.0
37	7	1.O	1.0
38	7	O.SO	0.50
39	7	0.2O	0.20
40	7	O.OSO	0.050
41	7	S.O	5.0
42	7	1.O	1.0
43	7	O.SO	0.50
44	7	0.2O	0.20
45	7	O.OSO	0.050
46	7	O.3	0.3
47	7	O.6	0.6
48	7	3OO	300
49	7	S.O	5.0
50	7	O.1	0.1
51	7	O.3	0.3
52	7	O.S	0.5
53	7	S.O	5.0
54	7	1.O	1.0
55	7	O.SO	0.50
56	7	0.2O	0.20
57	7	O.OSO	0.050
58	7	O.3	0.3
59	7	O.8	0.8
60	7	S.O	5.0
61	7	SS	15.5
62	7	3OO	300
63	7	21.O	21.0
64	7	S.O	5.0
65	7	2.O	2.0
66	7	1.O	1.0
67	7	OSO	0.50
68	7	0.2O	0.20
69	7	O.OSO	0.050
70	7	26.O	26.0
